15010,3.5,Sport,,,,,Archery  ,General,General,Moderate intensity
15020,7,Sport,,,,,Badminton,Competitive,Competitive,Moderate intensity
15030,4.5,Sport,,,,,Badminton,Social singles and doubles general ,Social singles and doubles general ,Vigorous intensity
15235,2.5,Sport,,,,,Baseball,Playing catch,Playing catch,Light Intensity
15040,8,Sport,,,,,Basketball,Game,Game,Moderate intensity
15050,6,Sport,,,,,Basketball,"Non-game, general","Non-game, general",Vigorous intensity
15060,7,Sport,,,,,Basketball,Officiating,Officiating,Vigorous intensity
15070,4.5,Sport,,,,,Basketball,Shooting baskets,Shooting baskets,Vigorous intensity
15075,6.5,Sport,,,,,Basketball,Wheelchair,Wheelchair,Vigorous intensity
1010,4,Physical activity,P,,,,Bicycling,<16 kph leisure to work or for pleasure,<10 mph leisure to work or for pleasure,Moderate intensity
1060,16,Physical activity,P,,,,Bicycling,>32 kph racing not drafting ,>20 mph racing not drafting ,Vigorous intensity
1020,6,Physical activity,P,,,,Bicycling,16 - 16.2 kph leisure slow light effort ,10-11.9 mph leisure slow light effort ,Vigorous intensity
1030,8,Physical activity,P,,,,Bicycling,19.2 - 22.4 kph leisure moderate effort ,12-13.9 mph leisure moderate effort ,Vigorous intensity
1040,10,Physical activity,P,,,,Bicycling,22.4 - 25.6 kph racing or leisure fast vigorous effor ,14-15.9 mph racing or leisure fast vigorous effor ,Vigorous intensity
1050,12,Physical activity,P,,,,Bicycling,25.6 - 32 kph racing/not drafting OR >32 kph drafting very fast racing genera ,16-19 mph racing/not drafting or >19 mph drafting very fast racing genera ,Vigorous intensity
1009,8.5,Physical activity,P,,,,Bicycling,BMX or mountain ,BMX or mountain ,Vigorous intensity
1015,8,Physical activity,P,,,,Bicycling,General ,General ,Vigorous intensity
15080,2.5,Sport,,,,,Billiards ,General,General,Light Intensity
15090,3,Sport,,,,,Bowling,"Ten pin, general","Ten pin, general",Moderate intensity
15100,12,Sport,,,,,Boxing,"In ring, general ","In ring, general ",Vigorous intensity
15110,6,Sport,,,,,Boxing,Punching bag ,Punching bag ,Vigorous intensity
15120,9,Sport,,,,,Boxing,Sparring ,Sparring ,Vigorous intensity
15130,7,Sport,,,,,Broomball ,General,General,Vigorous intensity
2020,8,Physical activity,P,P,,,Calisthenics,Heavy vigorous effort  ,Heavy vigorous effort  ,Moderate intensity
2030,3.5,Physical activity,P,P,,,Calisthenics,Home light or moderate effort general  going up & down from floor ,Home light or moderate effort general  going up & down from floor ,Moderate intensity
2120,4,Physical activity,P,,,,Calisthenics,Water aerobics & water calisthenics ,Water aerobics & water calisthenics ,Vigorous intensity
18020,4,Recreational activity,,,,,Canoeing,On camping trip,On camping trip,Moderate intensity
